pplus_low,pplus_high,pminus_low,pminus_high,ot_hybrid_weight
0.0,0.08,0.0,0.08,0.0
0.0,0.08,0.08,0.16,0.0
0.0,0.08,0.16,0.24,0.0
0.0,0.08,0.24,0.32,0.0
0.0,0.08,0.32,0.4,0.0
0.0,0.08,0.4,0.48,0.0
0.0,0.08,0.48,0.56,0.0
0.0,0.08,0.56,0.64,0.0
0.0,0.08,0.64,0.72,0.0
0.0,0.08,0.72,0.8,0.0
0.0,0.08,0.8,0.88,0.0
0.0,0.08,0.88,0.96,0.0
0.0,0.08,0.96,1.04,0.0
0.0,0.08,1.04,1.12,0.0
0.0,0.08,1.12,1.2,0.0
0.0,0.08,1.2,1.28,0.0
0.0,0.08,1.28,1.36,0.0
0.0,0.08,1.36,1.44,0.0
0.0,0.08,1.44,1.52,0.0
0.0,0.08,1.52,1.6,0.0
0.0,0.08,1.6,1.68,0.0
0.0,0.08,1.68,1.76,0.0
0.0,0.08,1.76,1.84,0.0
0.0,0.08,1.84,1.92,0.0
0.0,0.08,1.92,2.0,0.0
0.0,0.08,2.0,2.08,0.0
0.0,0.08,2.08,2.16,0.0
0.0,0.08,2.16,2.24,0.0
0.0,0.08,2.24,2.32,0.0
0.0,0.08,2.32,2.4,0.0
0.0,0.08,2.4,2.48,0.0
0.0,0.08,2.48,2.56,0.0
0.0,0.08,2.56,2.64,0.0
0.0,0.08,2.64,2.72,0.0
0.0,0.08,2.72,2.8,0.0
0.0,0.08,2.8,2.88,0.0
0.0,0.08,2.88,2.96,0.0
0.0,0.08,2.96,3.04,0.0
0.0,0.08,3.04,3.12,0.0
0.0,0.08,3.12,3.2,0.0
0.0,0.08,3.2,3.28,0.0
0.0,0.08,3.28,3.36,0.0
0.0,0.08,3.36,3.44,0.0
0.0,0.08,3.44,3.52,0.0
0.0,0.08,3.52,3.6,0.0
0.0,0.08,3.6,3.68,0.0
0.0,0.08,3.68,3.76,0.0
0.0,0.08,3.76,3.84,0.0
0.0,0.08,3.84,3.92,0.0
0.0,0.08,3.92,4.0,0.0
0.0,0.08,4.0,4.08,0.0
0.0,0.08,4.08,4.16,0.0
0.0,0.08,4.16,4.24,0.0
0.0,0.08,4.24,4.32,0.0
0.0,0.08,4.32,4.4,0.0
0.0,0.08,4.4,4.48,0.0
0.0,0.08,4.48,4.56,0.0
0.0,0.08,4.56,4.64,0.0
0.0,0.08,4.64,4.72,0.0
0.0,0.08,4.72,4.8,0.0
0.0,0.08,4.8,4.88,0.0
0.0,0.08,4.88,4.96,0.0
0.0,0.08,4.96,5.04,0.0
0.0,0.08,5.04,5.12,0.0
0.0,0.08,5.12,5.2,0.0
0.0,0.08,5.2,5.28,0.0
0.08,0.16,0.0,0.08,0.0
0.08,0.16,0.08,0.16,0.0
0.08,0.16,0.16,0.24,0.0
0.08,0.16,0.24,0.32,0.0
0.08,0.16,0.32,0.4,0.0
0.08,0.16,0.4,0.48,0.0
0.08,0.16,0.48,0.56,0.0
0.08,0.16,0.56,0.64,0.0
0.08,0.16,0.64,0.72,0.0
0.08,0.16,0.72,0.8,0.0
0.08,0.16,0.8,0.88,0.0
0.08,0.16,0.88,0.96,0.0
0.08,0.16,0.96,1.04,0.0
0.08,0.16,1.04,1.12,0.0
0.08,0.16,1.12,1.2,0.0
0.08,0.16,1.2,1.28,0.0
0.08,0.16,1.28,1.36,0.0
0.08,0.16,1.36,1.44,0.0
0.08,0.16,1.44,1.52,0.0
0.08,0.16,1.52,1.6,0.0
0.08,0.16,1.6,1.68,0.0
0.08,0.16,1.68,1.76,0.0
0.08,0.16,1.76,1.84,0.0
0.08,0.16,1.84,1.92,0.0
0.08,0.16,1.92,2.0,0.0
0.08,0.16,2.0,2.08,0.0
0.08,0.16,2.08,2.16,0.0
0.08,0.16,2.16,2.24,0.0
0.08,0.16,2.24,2.32,0.0
0.08,0.16,2.32,2.4,0.0
0.08,0.16,2.4,2.48,0.0
0.08,0.16,2.48,2.56,0.0
0.08,0.16,2.56,2.64,0.0
0.08,0.16,2.64,2.72,0.0
0.08,0.16,2.72,2.8,0.0
0.08,0.16,2.8,2.88,0.0
0.08,0.16,2.88,2.96,0.0
0.08,0.16,2.96,3.04,0.0
0.08,0.16,3.04,3.12,0.0
0.08,0.16,3.12,3.2,0.0
0.08,0.16,3.2,3.28,0.0
0.08,0.16,3.28,3.36,0.0
0.08,0.16,3.36,3.44,0.0
0.08,0.16,3.44,3.52,0.0
0.08,0.16,3.52,3.6,0.0
0.08,0.16,3.6,3.68,0.0
0.08,0.16,3.68,3.76,0.0
0.08,0.16,3.76,3.84,0.0
0.08,0.16,3.84,3.92,0.0
0.08,0.16,3.92,4.0,0.0
0.08,0.16,4.0,4.08,0.0
0.08,0.16,4.08,4.16,0.0
0.08,0.16,4.16,4.24,0.0
0.08,0.16,4.24,4.32,0.0
0.08,0.16,4.32,4.4,0.0
0.08,0.16,4.4,4.48,0.0
0.08,0.16,4.48,4.56,0.0
0.08,0.16,4.56,4.64,0.0
0.08,0.16,4.64,4.72,0.0
0.08,0.16,4.72,4.8,0.0
0.08,0.16,4.8,4.88,0.0
0.08,0.16,4.88,4.96,0.0
0.08,0.16,4.96,5.04,0.0
0.08,0.16,5.04,5.12,0.0
0.08,0.16,5.12,5.2,0.0
0.08,0.16,5.2,5.28,0.0
0.16,0.24,0.0,0.08,0.0
0.16,0.24,0.08,0.16,0.0
0.16,0.24,0.16,0.24,0.0
0.16,0.24,0.24,0.32,0.0
0.16,0.24,0.32,0.4,0.0
0.16,0.24,0.4,0.48,0.0
0.16,0.24,0.48,0.56,0.0
0.16,0.24,0.56,0.64,0.0
0.16,0.24,0.64,0.72,0.0
0.16,0.24,0.72,0.8,0.0
0.16,0.24,0.8,0.88,0.0
0.16,0.24,0.88,0.96,0.0
0.16,0.24,0.96,1.04,0.0
0.16,0.24,1.04,1.12,0.0
0.16,0.24,1.12,1.2,0.0
0.16,0.24,1.2,1.28,0.0
0.16,0.24,1.28,1.36,0.0
0.16,0.24,1.36,1.44,0.0
0.16,0.24,1.44,1.52,0.0
0.16,0.24,1.52,1.6,0.0
0.16,0.24,1.6,1.68,0.0
0.16,0.24,1.68,1.76,0.0
0.16,0.24,1.76,1.84,0.0
0.16,0.24,1.84,1.92,0.0
0.16,0.24,1.92,2.0,0.0
0.16,0.24,2.0,2.08,0.0
0.16,0.24,2.08,2.16,0.0
0.16,0.24,2.16,2.24,0.0
0.16,0.24,2.24,2.32,0.0
0.16,0.24,2.32,2.4,0.0
0.16,0.24,2.4,2.48,0.0
0.16,0.24,2.48,2.56,0.0
0.16,0.24,2.56,2.64,0.0
0.16,0.24,2.64,2.72,0.0
0.16,0.24,2.72,2.8,0.0
0.16,0.24,2.8,2.88,0.0
0.16,0.24,2.88,2.96,0.0
0.16,0.24,2.96,3.04,0.0
0.16,0.24,3.04,3.12,0.0
0.16,0.24,3.12,3.2,0.0
0.16,0.24,3.2,3.28,0.0
0.16,0.24,3.28,3.36,0.0
0.16,0.24,3.36,3.44,0.0
0.16,0.24,3.44,3.52,0.0
0.16,0.24,3.52,3.6,0.0
0.16,0.24,3.6,3.68,0.0
0.16,0.24,3.68,3.76,0.0
0.16,0.24,3.76,3.84,0.0
0.16,0.24,3.84,3.92,0.0
0.16,0.24,3.92,4.0,0.0
0.16,0.24,4.0,4.08,0.0
0.16,0.24,4.08,4.16,0.0
0.16,0.24,4.16,4.24,0.0
0.16,0.24,4.24,4.32,0.0
0.16,0.24,4.32,4.4,0.0
0.16,0.24,4.4,4.48,0.0
0.16,0.24,4.48,4.56,0.0
0.16,0.24,4.56,4.64,0.0
0.16,0.24,4.64,4.72,0.0
0.16,0.24,4.72,4.8,0.0
0.16,0.24,4.8,4.88,0.0
0.16,0.24,4.88,4.96,0.0
0.16,0.24,4.96,5.04,0.0
0.16,0.24,5.04,5.12,0.0
0.16,0.24,5.12,5.2,0.0
0.16,0.24,5.2,5.28,0.0
0.24,0.32,0.0,0.08,0.0
0.24,0.32,0.08,0.16,0.0
0.24,0.32,0.16,0.24,0.0
0.24,0.32,0.24,0.32,0.0
0.24,0.32,0.32,0.4,0.0
0.24,0.32,0.4,0.48,0.0
0.24,0.32,0.48,0.56,0.0
0.24,0.32,0.56,0.64,0.0
0.24,0.32,0.64,0.72,0.0
0.24,0.32,0.72,0.8,0.0
0.24,0.32,0.8,0.88,0.0
0.24,0.32,0.88,0.96,0.0
0.24,0.32,0.96,1.04,0.0
0.24,0.32,1.04,1.12,0.0
0.24,0.32,1.12,1.2,0.0
0.24,0.32,1.2,1.28,0.0
0.24,0.32,1.28,1.36,0.0
0.24,0.32,1.36,1.44,0.0
0.24,0.32,1.44,1.52,0.0
0.24,0.32,1.52,1.6,0.0
0.24,0.32,1.6,1.68,0.0
0.24,0.32,1.68,1.76,0.0
0.24,0.32,1.76,1.84,0.0
0.24,0.32,1.84,1.92,0.0
0.24,0.32,1.92,2.0,0.0
0.24,0.32,2.0,2.08,0.0
0.24,0.32,2.08,2.16,0.0
0.24,0.32,2.16,2.24,0.0
0.24,0.32,2.24,2.32,0.0
0.24,0.32,2.32,2.4,0.0
0.24,0.32,2.4,2.48,0.0
0.24,0.32,2.48,2.56,0.0
0.24,0.32,2.56,2.64,0.0
0.24,0.32,2.64,2.72,0.0
0.24,0.32,2.72,2.8,0.0
0.24,0.32,2.8,2.88,0.0
0.24,0.32,2.88,2.96,0.0
0.24,0.32,2.96,3.04,0.0
0.24,0.32,3.04,3.12,0.0
0.24,0.32,3.12,3.2,0.0
0.24,0.32,3.2,3.28,0.0
0.24,0.32,3.28,3.36,0.0
0.24,0.32,3.36,3.44,0.0
0.24,0.32,3.44,3.52,0.0
0.24,0.32,3.52,3.6,0.0
0.24,0.32,3.6,3.68,0.0
0.24,0.32,3.68,3.76,0.0
0.24,0.32,3.76,3.84,0.0
0.24,0.32,3.84,3.92,0.0
0.24,0.32,3.92,4.0,0.16543031250266851
0.24,0.32,4.0,4.08,0.1898352748237357
0.24,0.32,4.08,4.16,0.20888773074405378
0.24,0.32,4.16,4.24,0.27292172473672993
0.24,0.32,4.24,4.32,0.3343077006869502
0.24,0.32,4.32,4.4,0.32972094039777006
0.24,0.32,4.4,4.48,0.35107316539783123
0.24,0.32,4.48,4.56,0.3577186562240158
0.24,0.32,4.56,4.64,0.40498221206236
0.24,0.32,4.64,4.72,0.43626360132453046
0.24,0.32,4.72,4.8,0.4629919652845335
0.24,0.32,4.8,4.88,0.4683858615692041
0.24,0.32,4.88,4.96,0.49505690812227315
0.24,0.32,4.96,5.04,0.4942446176317009
0.24,0.32,5.04,5.12,0.5119087554515975
0.24,0.32,5.12,5.2,0.5620559662983275
0.24,0.32,5.2,5.28,0.615753709042924
0.32,0.4,0.0,0.08,0.0
0.32,0.4,0.08,0.16,0.0
0.32,0.4,0.16,0.24,0.0
0.32,0.4,0.24,0.32,0.0
0.32,0.4,0.32,0.4,0.0
0.32,0.4,0.4,0.48,0.0
0.32,0.4,0.48,0.56,0.0
0.32,0.4,0.56,0.64,0.0
0.32,0.4,0.64,0.72,0.0
0.32,0.4,0.72,0.8,0.0
0.32,0.4,0.8,0.88,0.0
0.32,0.4,0.88,0.96,0.0
0.32,0.4,0.96,1.04,0.0
0.32,0.4,1.04,1.12,0.0
0.32,0.4,1.12,1.2,0.0
0.32,0.4,1.2,1.28,0.0
0.32,0.4,1.28,1.36,0.0
0.32,0.4,1.36,1.44,0.0
0.32,0.4,1.44,1.52,0.0
0.32,0.4,1.52,1.6,0.0
0.32,0.4,1.6,1.68,0.0
0.32,0.4,1.68,1.76,0.0
0.32,0.4,1.76,1.84,0.0
0.32,0.4,1.84,1.92,0.0
0.32,0.4,1.92,2.0,0.0
0.32,0.4,2.0,2.08,0.0
0.32,0.4,2.08,2.16,0.0
0.32,0.4,2.16,2.24,0.0
0.32,0.4,2.24,2.32,0.0
0.32,0.4,2.32,2.4,0.0
0.32,0.4,2.4,2.48,0.0
0.32,0.4,2.48,2.56,0.0
0.32,0.4,2.56,2.64,0.0
0.32,0.4,2.64,2.72,0.0
0.32,0.4,2.72,2.8,0.22813730767259213
0.32,0.4,2.8,2.88,0.4010164918708415
0.32,0.4,2.88,2.96,0.4710642768387736
0.32,0.4,2.96,3.04,0.5318404114419741
0.32,0.4,3.04,3.12,0.6250385585174445
0.32,0.4,3.12,3.2,0.6783832684749196
0.32,0.4,3.2,3.28,0.6999550093921191
0.32,0.4,3.28,3.36,0.746960762833381
0.32,0.4,3.36,3.44,0.9263421083187722
0.32,0.4,3.44,3.52,0.9387902916707369
0.32,0.4,3.52,3.6,0.9393784284315344
0.32,0.4,3.6,3.68,0.9458757925880299
0.32,0.4,3.68,3.76,0.9469804826895795
0.32,0.4,3.76,3.84,0.9541951149640886
0.32,0.4,3.84,3.92,0.9550319569205318
0.32,0.4,3.92,4.0,0.9618622386223863
0.32,0.4,4.0,4.08,0.9625808457209297
0.32,0.4,4.08,4.16,0.9622849900564681
0.32,0.4,4.16,4.24,0.9630938653136528
0.32,0.4,4.24,4.32,0.9673743230938805
0.32,0.4,4.32,4.4,0.9712877050529863
0.32,0.4,4.4,4.48,0.9705235788277784
0.32,0.4,4.48,4.56,0.9726535959459957
0.32,0.4,4.56,4.64,0.9752758405210756
0.32,0.4,4.64,4.72,0.9769107507588841
0.32,0.4,4.72,4.8,0.9786904313759082
0.32,0.4,4.8,4.88,0.9776418807207548
0.32,0.4,4.88,4.96,0.9814962601792823
0.32,0.4,4.96,5.04,0.9802655416267518
0.32,0.4,5.04,5.12,0.9827682871259706
0.32,0.4,5.12,5.2,0.9834153637229761
0.32,0.4,5.2,5.28,0.9840113031320626
0.4,0.48,0.0,0.08,0.0
0.4,0.48,0.08,0.16,0.0
0.4,0.48,0.16,0.24,0.0
0.4,0.48,0.24,0.32,0.0
0.4,0.48,0.32,0.4,0.0
0.4,0.48,0.4,0.48,0.0
0.4,0.48,0.48,0.56,0.0
0.4,0.48,0.56,0.64,0.0
0.4,0.48,0.64,0.72,0.0
0.4,0.48,0.72,0.8,0.0
0.4,0.48,0.8,0.88,0.0
0.4,0.48,0.88,0.96,0.0
0.4,0.48,0.96,1.04,0.0
0.4,0.48,1.04,1.12,0.0
0.4,0.48,1.12,1.2,0.0
0.4,0.48,1.2,1.28,0.0
0.4,0.48,1.28,1.36,0.0
0.4,0.48,1.36,1.44,0.0
0.4,0.48,1.44,1.52,0.0
0.4,0.48,1.52,1.6,0.0
0.4,0.48,1.6,1.68,0.0
0.4,0.48,1.68,1.76,0.0
0.4,0.48,1.76,1.84,0.0
0.4,0.48,1.84,1.92,0.0
0.4,0.48,1.92,2.0,0.28854131217612305
0.4,0.48,2.0,2.08,0.4160663035203672
0.4,0.48,2.08,2.16,0.6682717755979775
0.4,0.48,2.16,2.24,0.8391468412171534
0.4,0.48,2.24,2.32,0.8599446410179021
0.4,0.48,2.32,2.4,0.877522441298222
0.4,0.48,2.4,2.48,0.895846072746441
0.4,0.48,2.48,2.56,0.9019087155157254
0.4,0.48,2.56,2.64,0.9174097150807567
0.4,0.48,2.64,2.72,0.9222344076587615
0.4,0.48,2.72,2.8,0.929475695837309
0.4,0.48,2.8,2.88,0.9347242145695116
0.4,0.48,2.88,2.96,0.9439428804400399
0.4,0.48,2.96,3.04,0.949886829313468
0.4,0.48,3.04,3.12,0.9509778961489982
0.4,0.48,3.12,3.2,0.9556387988122304
0.4,0.48,3.2,3.28,0.9599834175166236
0.4,0.48,3.28,3.36,0.9617276818351035
0.4,0.48,3.36,3.44,0.964942313388695
0.4,0.48,3.44,3.52,0.9661293408421366
0.4,0.48,3.52,3.6,0.9701001203560428
0.4,0.48,3.6,3.68,0.9707638195033956
0.4,0.48,3.68,3.76,0.9727591423758183
0.4,0.48,3.76,3.84,0.9734699922250063
0.4,0.48,3.84,3.92,0.9776473910550236
0.4,0.48,3.92,4.0,0.9770524330730954
0.4,0.48,4.0,4.08,0.9775969763462539
0.4,0.48,4.08,4.16,0.9782680165528279
0.4,0.48,4.16,4.24,0.9821497571987357
0.4,0.48,4.24,4.32,0.9821251518300306
0.4,0.48,4.32,4.4,0.9812105433346043
0.4,0.48,4.4,4.48,0.9841151268088757
0.4,0.48,4.48,4.56,0.9852046227155183
0.4,0.48,4.56,4.64,0.9843513227452028
0.4,0.48,4.64,4.72,0.9862872993297459
0.4,0.48,4.72,4.8,0.9854751013128992
0.4,0.48,4.8,4.88,0.9887089802771057
0.4,0.48,4.88,4.96,0.9882471093538391
0.4,0.48,4.96,5.04,0.9884932195483203
0.4,0.48,5.04,5.12,0.9890982560015714
0.4,0.48,5.12,5.2,0.9908128427078665
0.4,0.48,5.2,5.28,0.9903803105590521
0.48,0.56,0.0,0.08,0.0
0.48,0.56,0.08,0.16,0.0
0.48,0.56,0.16,0.24,0.0
0.48,0.56,0.24,0.32,0.0
0.48,0.56,0.32,0.4,0.0
0.48,0.56,0.4,0.48,0.0
0.48,0.56,0.48,0.56,0.0
0.48,0.56,0.56,0.64,0.0
0.48,0.56,0.64,0.72,0.0
0.48,0.56,0.72,0.8,0.0
0.48,0.56,0.8,0.88,0.0
0.48,0.56,0.88,0.96,0.0
0.48,0.56,0.96,1.04,0.0
0.48,0.56,1.04,1.12,0.0
0.48,0.56,1.12,1.2,0.0
0.48,0.56,1.2,1.28,0.0
0.48,0.56,1.28,1.36,0.0
0.48,0.56,1.36,1.44,0.0
0.48,0.56,1.44,1.52,0.237903435370834
0.48,0.56,1.52,1.6,0.6535905875265191
0.48,0.56,1.6,1.68,0.7074016644421727
0.48,0.56,1.68,1.76,0.7847005393130833
0.48,0.56,1.76,1.84,0.8200535404665572
0.48,0.56,1.84,1.92,0.8540421929831765
0.48,0.56,1.92,2.0,0.8705553481290393
0.48,0.56,2.0,2.08,0.8859919618304462
0.48,0.56,2.08,2.16,0.9067226890756305
0.48,0.56,2.16,2.24,0.9159334151604233
0.48,0.56,2.24,2.32,0.9272647319030899
0.48,0.56,2.32,2.4,0.9364875852148359
0.48,0.56,2.4,2.48,0.9443136116754435
0.48,0.56,2.48,2.56,0.9436680862251877
0.48,0.56,2.56,2.64,0.9502950329042469
0.48,0.56,2.64,2.72,0.9569389773553286
0.48,0.56,2.72,2.8,0.9616229699950245
0.48,0.56,2.8,2.88,0.9620257677153051
0.48,0.56,2.88,2.96,0.9626040454913319
0.48,0.56,2.96,3.04,0.9651807578404857
0.48,0.56,3.04,3.12,0.9696462597929791
0.48,0.56,3.12,3.2,0.9704735186496881
0.48,0.56,3.2,3.28,0.9744210862664334
0.48,0.56,3.28,3.36,0.9764897153922036
0.48,0.56,3.36,3.44,0.9781088200999046
0.48,0.56,3.44,3.52,0.9772904427488833
0.48,0.56,3.52,3.6,0.977801543368994
0.48,0.56,3.6,3.68,0.9820218171586279
0.48,0.56,3.68,3.76,0.9813778006564596
0.48,0.56,3.76,3.84,0.9831622685974762
0.48,0.56,3.84,3.92,0.984225154400657
0.48,0.56,3.92,4.0,0.9860286017316975
0.48,0.56,4.0,4.08,0.9864403781024113
0.48,0.56,4.08,4.16,0.9843531522191377
0.48,0.56,4.16,4.24,0.9866818596372676
0.48,0.56,4.24,4.32,0.9874170419597642
0.48,0.56,4.32,4.4,0.9885205235859287
0.48,0.56,4.4,4.48,0.9882177014189968
0.48,0.56,4.48,4.56,0.9888437405774836
0.48,0.56,4.56,4.64,0.9891170650836943
0.48,0.56,4.64,4.72,0.9909161027646827
0.48,0.56,4.72,4.8,0.9909105859860826
0.48,0.56,4.8,4.88,0.9914047125921734
0.48,0.56,4.88,4.96,0.9905211526245082
0.48,0.56,4.96,5.04,0.9921484795584499
0.48,0.56,5.04,5.12,0.9925368296852469
0.48,0.56,5.12,5.2,0.9921982076963626
0.48,0.56,5.2,5.28,0.993500359747041
0.56,0.64,0.0,0.08,0.0
0.56,0.64,0.08,0.16,0.0
0.56,0.64,0.16,0.24,0.0
0.56,0.64,0.24,0.32,0.0
0.56,0.64,0.32,0.4,0.0
0.56,0.64,0.4,0.48,0.0
0.56,0.64,0.48,0.56,0.0
0.56,0.64,0.56,0.64,0.0
0.56,0.64,0.64,0.72,0.0
0.56,0.64,0.72,0.8,0.0
0.56,0.64,0.8,0.88,0.0
0.56,0.64,0.88,0.96,0.0
0.56,0.64,0.96,1.04,0.0
0.56,0.64,1.04,1.12,0.0
0.56,0.64,1.12,1.2,0.0
0.56,0.64,1.2,1.28,0.3822908809197511
0.56,0.64,1.28,1.36,0.5970122604451855
0.56,0.64,1.36,1.44,0.7170299237783658
0.56,0.64,1.44,1.52,0.787338745387457
0.56,0.64,1.52,1.6,0.8202685156197902
0.56,0.64,1.6,1.68,0.8622408346385635
0.56,0.64,1.68,1.76,0.8712054120541223
0.56,0.64,1.76,1.84,0.8890436742984159
0.56,0.64,1.84,1.92,0.918819188191883
0.56,0.64,1.92,2.0,0.9152621121352923
0.56,0.64,2.0,2.08,0.932858233378326
0.56,0.64,2.08,2.16,0.9468177824635394
0.56,0.64,2.16,2.24,0.9439717507895646
0.56,0.64,2.24,2.32,0.9552219551052339
0.56,0.64,2.32,2.4,0.957364131498819
0.56,0.64,2.4,2.48,0.9601082527412955
0.56,0.64,2.48,2.56,0.9647510984646633
0.56,0.64,2.56,2.64,0.9634676619173925
0.56,0.64,2.64,2.72,0.9650674990103788
0.56,0.64,2.72,2.8,0.9738984154547426
0.56,0.64,2.8,2.88,0.9727679287662443
0.56,0.64,2.88,2.96,0.9757774526021122
0.56,0.64,2.96,3.04,0.9776250011857446
0.56,0.64,3.04,3.12,0.9752853342486915
0.56,0.64,3.12,3.2,0.9806164269686242
0.56,0.64,3.2,3.28,0.9788972042992533
0.56,0.64,3.28,3.36,0.9816215117700519
0.56,0.64,3.36,3.44,0.9810144261618151
0.56,0.64,3.44,3.52,0.9831056016130454
0.56,0.64,3.52,3.6,0.984410481124042
0.56,0.64,3.6,3.68,0.9847835272245852
0.56,0.64,3.68,3.76,0.9863230478803666
